,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
CANDIDO DE ABREU,0,0,0,0,"0,014",0,"0,021","72,702",0,"0,123","0,764","0,819","74,443"
CURIUVA,"0,358",0,0,"0,057","0,026",0,0,"0,208","3,439",0,0,"0,536","4,624"
FIGUEIRA,0,0,0,0,0,0,"0,003",0,0,0,0,0,"0,003"
IMBAU,0,0,0,0,0,"0,015",0,"0,182","0,169",0,"0,008",0,"0,374"
ORTIGUEIRA,0,"0,026",0,"0,007","0,001","0,189",0,"0,01","1,11","0,162","80,781","0,083","82,369"
RESERVA,"0,025","0,001","0,006","0,003","0,031","0,001","0,027","0,025","0,636","0,005","0,043",0,"0,803"
SAPOPEMA,"2,249",0,"0,002",0,0,0,0,0,"0,032","0,001","0,003",0,"2,287"
TELEMACO BORBA,"38,81","0,127","0,834","0,733","0,123","1,232","0,156","1,113","1,3","8,312","1,028","0,279","54,047"
TIBAGI,"1,002",0,0,"0,005","1563,024",0,0,"0,018","0,007","0,024","0,331",0,"1564,411"
VENTANIA,"0,002",0,0,"0,779",0,"0,012",0,"0,447",0,"2,745","0,965","0,02","4,97"
ABATIA,"0,016",0,"0,171",0,"0,001",0,0,0,0,0,0,"0,009","0,197"
CAMBARA,"0,028",0,"0,053",0,"0,136","0,214","0,046","0,002",0,"0,067",0,"0,007","0,553"
CARLOPOLIS,"0,065","0,033","0,006","0,01","0,002","0,057","0,006","0,014","0,006",0,0,"0,014","0,213"
CONSELHEIRO MAIRINCK,0,0,0,0,0,"0,002","0,001","0,002","0,002",0,0,0,"0,007"
GUAPIRAMA,0,0,"0,002",0,0,0,0,0,0,0,0,0,"0,002"
IBAITI,"0,039","0,007",0,"0,001",0,"0,034","0,768","0,32",0,"0,074","50,076","0,023","51,342"
JABOTI,"0,002",0,"0,004",0,0,0,0,0,0,0,0,"0,001","0,007"
JACAREZINHO,"223,131","0,174","0,275","0,009","530,732","140,352","5,926","77,558","0,001","340,175","133,121","245,98","1697,434"
JAPIRA,0,0,"0,053","0,06","0,008",0,0,"5,308",0,0,0,"0,012","5,441"
JOAQUIM TAVORA,0,0,"0,002",0,"60,508","0,019",0,"0,003",0,0,590,0,"650,532"
JUNDIAI DO SUL,0,0,0,0,0,0,0,0,0,"0,029",0,0,"0,029"
PINHALAO,"0,01","0,001",0,0,0,0,0,"0,019",0,0,0,0,"0,03"
QUATIGUA,0,0,0,"0,005","2,098",0,"0,031",0,"0,255",0,0,"0,005","2,394"
RIBEIRAO CLARO,"0,011","0,003","0,009",0,"0,004",0,0,0,"0,04","0,001","0,007",0,"0,075"
RIBEIRAO DO PINHAL,"0,001","0,005","0,015","601,205","0,001","0,155","0,01","0,007","0,297",0,"0,006","0,005","601,707"
SALTO DO ITARARE,0,0,0,0,0,"0,023",0,0,"0,02",0,"20,811",0,"20,854"
SANTANA DO ITARARE,"0,05",0,0,"0,002","0,047",0,0,0,0,"0,001",0,0,"0,1"
SANTO ANTONIO DA PLATINA,"3,479","0,01","0,005","1,087","0,353","1,343","0,021","120,35",0,"26,6","0,015","90,236","243,499"
SAO JOSE DA BOA VISTA,0,0,0,"0,006","0,03","1,149",0,0,0,"0,007",0,"0,022","1,214"
SIQUEIRA CAMPOS,"0,015","0,002","0,06","0,254","0,024","0,03","0,087","0,086","0,078","0,002","1,506",0,"2,144"
TOMAZINA,"0,001","0,002",0,0,"0,001",0,"0,062",0,0,0,"10,1","0,002","10,168"
WENCESLAU BRAZ,"0,007","0,006","0,003","0,011","1,293","0,001","0,016","0,431","0,001","1,739",0,"0,103","3,611"
,"15234,51","19248,259","17017,733","40223,747","53619,347","76116,788","43723,295","55504,035","32233,354","51574,063","41000,464","37554,813","483050,408"
