Municipio,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
ASSAI,0.0,0.001,0.034,0.234,0.008,0.246,0.006,0.009,0.002,0.004,0.041,0.012,0.597
BANDEIRANTES,0.01,0.127,0.007,0.015,0.351,0.06,0.298,0.004,0.389,0.014,0.006,0.0,1.281
BARRA DO JACARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONGONHINHAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORNELIO PROCOPIO,0.11,0.215,0.138,0.023,0.013,0.139,3.976,0.02,0.003,0.381,0.307,0.025,5.35
ITAMBARACA,0.0,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.02
LEOPOLIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOVA AMERICA DA COLINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOVA FATIMA,0.0,0.024,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.001,0.0,0.028
NOVA SANTA BARBARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.001,0.003
RANCHO ALEGRE,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
SANTA AMELIA,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
SANTA CECILIA DO PAVAO,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.082,0.001,0.001,0.0,0.0,0.087
SANTA MARIANA,0.0,0.0,0.0,0.0,0.056,0.031,0.0,0.004,0.0,0.0,0.0,0.082,0.173
SANTO ANTONIO DO PARAISO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAO JERONIMO DA SERRA,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.003
SAO SEBASTIAO DA AMOREIRA,0.009,0.008,0.007,0.03,1.01,0.034,0.03,0.002,0.004,0.0,0.0,0.002,1.136
SERTANEJA,0.0,0.0,0.0,0.0,1.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.063
URAI,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
CANDIDO DE ABREU,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.027,0.0,0.0,0.234,0.029,0.3
CURIUVA,0.021,0.024,0.0,0.0,0.001,0.0,0.0,0.008,0.613,0.0,0.002,0.0,0.669
FIGUEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMBAU,0.0,0.0,0.013,0.0,0.0,0.037,0.0,0.563,0.151,0.0,0.035,0.0,0.799
ORTIGUEIRA,0.0,0.002,0.025,0.0,0.001,0.072,0.0,0.054,0.026,0.001,2.305,0.045,2.531
RESERVA,0.001,0.006,0.014,0.0,0.463,0.0,0.005,0.001,0.122,0.0,0.0,0.0,0.612
SAPOPEMA,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056
TELEMACO BORBA,0.006,0.004,0.069,0.003,0.073,0.001,0.101,0.011,0.198,0.09,0.016,0.002,0.574
TIBAGI,0.0,0.0,0.0,0.011,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.022
VENTANIA,0.004,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
ABATIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001
CAMBARA,0.0,0.006,0.0,0.008,0.142,0.12,0.0,0.0,0.0,0.0,0.0,0.011,0.287
CARLOPOLIS,0.0,0.0,0.009,0.0,0.047,0.0,0.0,0.004,0.024,0.0,0.0,0.0,0.084
CONSELHEIRO MAIRINCK,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.003
GUAPIRAMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBAITI,0.016,0.001,0.0,0.0,0.001,0.0,0.0,0.011,0.006,0.0,0.0,0.0,0.035
JABOTI,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108
JACAREZINHO,0.003,0.151,0.087,0.041,0.072,0.025,0.028,0.071,0.002,0.004,0.003,0.001,0.488
JAPIRA,0.0,0.005,0.001,0.161,0.002,0.0,0.003,0.001,0.001,0.001,0.005,0.014,0.194
JOAQUIM TAVORA,0.005,0.0,0.001,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132
JUNDIAI DO SUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PINHALAO,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.003
QUATIGUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBEIRAO CLARO,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.012,0.001,0.0,0.0,0.029
RIBEIRAO DO PINHAL,0.018,0.0,1.482,0.124,0.0,0.002,0.025,0.0,0.0,0.0,0.026,0.0,1.677
SALTO DO ITARARE,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.002,0.0,0.021
SANTANA DO ITARARE,0.001,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
SANTO ANTONIO DA PLATINA,0.13,0.0,0.0,0.025,1.379,0.142,0.016,0.032,0.014,1.093,0.033,0.002,2.866
SAO JOSE DA BOA VISTA,0.0,0.002,0.0,0.002,0.401,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.412
SIQUEIRA CAMPOS,0.019,0.092,0.005,0.0,0.0,0.0,0.015,0.01,0.0,0.001,0.002,0.0,0.144
TOMAZINA,0.0,0.0,0.0,0.001,0.0,0.002,0.003,0.003,0.0,0.0,0.074,0.006,0.089
WENCESLAU BRAZ,0.004,0.0,0.0,0.0,0.019,0.019,0.0,0.23,0.0,0.0,0.095,0.0,0.367
,217.20800000000003,741.9679999999998,218.49,237.49900000000002,367.321,1058.208,580.364,662.1100000000001,446.541,118.969,675.386,473.40500000000003,5797.469
