,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
GUAPIRAMA,0,"0,05","0,019",0,0,0,0,0,0,0,0,0,"0,069"
IBAITI,"0,01","0,004",0,"0,012","0,001",0,0,0,0,"0,004","0,003",0,"0,034"
JABOTI,0,0,0,0,0,0,0,0,0,0,0,0,0
JACAREZINHO,"0,039",0,"0,004","0,059","0,057","0,002","0,009",0,"0,01","0,001",0,"0,007","0,188"
JAPIRA,0,0,0,"0,077","0,001",0,0,0,"0,001",0,0,"0,001","0,08"
JOAQUIM TAVORA,0,0,"0,01",0,"0,002","0,014",0,0,0,0,0,0,"0,026"
JUNDIAI DO SUL,0,0,0,0,0,0,0,0,0,0,0,0,0
PINHALAO,0,"0,001",0,0,0,0,0,0,0,0,0,0,"0,001"
QUATIGUA,0,0,0,0,"0,007",0,0,0,"0,012",0,0,0,"0,019"
RIBEIRAO CLARO,0,"0,01",0,0,0,0,0,0,0,0,0,0,"0,01"
RIBEIRAO DO PINHAL,"0,001",0,"0,138","0,004",0,"0,021","0,01",0,0,0,0,0,"0,174"
SALTO DO ITARARE,0,0,0,0,"0,001",0,0,0,"0,034",0,0,0,"0,035"
SANTANA DO ITARARE,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTO ANTONIO DA PLATINA,"0,143","0,016","0,001",0,"0,27","0,016","0,019","0,001","0,004","0,006","0,013","0,135","0,624"
SAO JOSE DA BOA VISTA,"0,003","0,001",0,0,"0,001","0,003",0,0,0,0,0,0,"0,008"
SIQUEIRA CAMPOS,0,"0,002",0,"0,012","0,001",0,"0,038","0,008","0,001","0,012",0,0,"0,074"
TOMAZINA,0,0,"0,001",0,0,"0,002",0,"0,036",0,0,"0,15",0,"0,189"
WENCESLAU BRAZ,0,0,"0,001",0,"0,001","0,002","0,001","0,004",0,"0,141","0,166","0,131","0,447"
,"255,282","24,781","196,305","187,775","351,131","565,966","23,968","64,921","28,137","388,145","69,738","28,584","2184,733"
